Unnamed: 0,Question,Answer
0,Bagaimanakah cara menjual mobil di CARSOME?,"['CARSOME Indonesia menawarkan cara baru menjual mobil sehingga anda dapat menerima harga terbaik untuk setiap penjualan mobil anda. Tidak perlu lagi anda harus mengeluarkan biaya untuk mengiklankan mobil anda dan juga menghemat waktu karena anda tidak perlu lagi mengunjungi setiap dealer mobil untuk mendapatkan harga yang anda inginkan.Langkah - langkah menjual mobil di CARSOME :- Masukkan data-data mengenai mobil anda dan data pribadi anda.- Tim CARSOME akan segera menghubungi anda untuk melakukan verifikasi ulang data yang telah anda masukkan.- Setelah verifikasi data selesai, tim kami akan menginfokan harga terbaik mobil anda, apabila anda setuju, tim kami akan segera membantu untuk menjadwalkan survey di lokasi anda ataupun lokasi lain yang memudahkan anda. - Saat survey, tim inspektor kami akan melakukan pengecekan mobil anda, dan juga mengambil foto-foto untuk kami upload di webite kami sehingga dealer-dealer terpercaya kami dapat melihat  mobil anda.- Setelah Tim CARSOME mendapatkan harga, Tim CARSOME akan segera menghubungi anda untuk membantu proses penjualan mobil anda. Apabila anda membutuhkan info lebih lanjut, anda dapat menghubungi kami disini.', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
1,Mengapa menggunakan CARSOME untuk menjual mobil saya?,"['CARSOME Indonesia adalah cara tercepat dan termudah untuk menjual mobil anda! Anda bisa mendapatkan nilai jual mobil terbaik sesuai kondisi mobil dari tim survey kami sehingga anda dapat menghemat banyak waktu dan biaya', '', '', 'Keuntungan menggunakan CARSOME Indonesia', '', '', 'Harga sesuai kondisi mobilJual Mobil anda dalam waktu 1 hari!100% Gratis', 'Harga sesuai kondisi mobil', 'Jual Mobil anda dalam waktu 1 hari!', '100% Gratis']"
2,Apakah itu survey?,['Survey adalah proses pengecekan kondisi mobil anda dimana inspektor berpengalaman kami akan melakukan 175 titik poin inspeksi pada mobil dan juga melakukan test-drive mobil anda untuk mengetahui kondisi mobil anda lebih lanjut. Survey mobil anda tidak akan memakan waktu lebih dari 45-60 menit. ']
3,Bagaimana jika saya ingin menjual mobil namun mobil masih dalam masa kredit?,"['Apabila mobil anda masih dalam masa kredit, kami akan menghitung serta mengkalkulasi terlebih dahulu sisa kredit mobil anda apakah cocok dengan harga penawaran terbaik untuk mobil anda. Apabila ya, kami akan membantu anda untuk menjual mobil anda, apabila sudah terjual kami juga akan membantu untuk proses pelunasan kredit oleh dealer-dealer terpercaya rekanan kami.']"
4,Bagaimanakah cara membuat jadwal survey?,"['Setelah memasukkan data-data mobil dan data-data pribadi anda, anda akan dihubungi oleh tim kami untuk pembuatan jadwal survey pada hari dan waktu yang memudahkan anda. Survey akan dilakukan di tempat kediaman anda atau tempat lainnya yang anda tentukan (sementara ini hanya untuk wilayah Jakarta, Bekasi, Bandung, Surabaya, Cibinong & Medan).']"
5,Bagaimanakah cara CARSOME menentukan nilai jual mobil?,['CARSOME Indonesia memiliki data-data mengenai nilai jual mobil terkini dan juga pengalaman dalam melakukan transaksi jual-beli mobil. Nilai jual mobil ini akan menjadi acuan dasar dalam mengajukan penawaran kepada rekanan dealer-dealer Carsome yang telah terverifikasi.']
6,Dokumen apa sajakah yang dibutuhkan?,"['CARSOME membutuhkan :- Bukti Pemilik Kendaraan Bermotor (BPKB)- STNK dan bukti bayar pajak tahunan- KTP/SIM Pemilik Kendaraan (NPWP dan TDP Perusahaan apabila atas nama Perseroan Terbatas)- Polis Asuransi (apabila ada).', '', '', '', '', '', '', '', '']"
7,Apa langkah selanjutnya setelah saya SETUJU menjual mobil saya?,"['Setelah Anda setuju untuk menjual mobil Anda melalui CARSOME, kami akan mengurus seluruh keperluan serta dokumen dalam kurun waktu 7 hari. Ini berarti Anda harus menyerahkan mobil Anda dalam kurun waktu 7 hari setelah menerima penawaran. Lokasi serah terima mobil akan ditentukan setelah diskusi dengan inspektor kami, bisa di tempat Anda maupun di pusat inspeksi kami di Jakarta, Bekasi, Bandung, Cibinong, Surabaya & Medan. Pembayaran mobil Anda akan dilakukan di lokasi baik dengan tunai maupun transfer.']"
8,Apakah ada biaya transaksi?,['Penjualan mobil melalui CARSOME tidak dikenakan biaya transaksi.']
9,Apa itu Privy? / Privy itu perusahaan apa?,"['Privy, penyelenggara identitas digital yang terpercaya dan mengikat secara hukum menggunakan sertifikat digital. Privy adalah penyelenggara sertifikat digital pertama yang mendapatkan pengakuan dari Kementerian Komunikasi & Informatika Indonesia (KOMINFO).', 'Insurance', 'Insurance', 'ZurichManulifeGreat EasternAllianzGenerali', 'Zurich', 'Manulife', 'Great Eastern', 'Allianz', 'Generali', 'Telco', 'Telco', 'IndosatTelkomselTelkom IndonesiaXL AxiataLintasarta', 'Indosat', 'Telkomsel', 'Telkom Indonesia', 'XL Axiata', 'Lintasarta', 'Banking', 'Banking', 'Bank MandiriBusiness Network InternationalBank DanamonBank BRIPanin BankCIMB NiagaNobu\xa0National Bank', 'Bank Mandiri', 'Business Network International', 'Bank Danamon', 'Bank BRI', 'Panin Bank', 'CIMB Niaga', 'Nobu\xa0National Bank', 'Fintech & Non Bank Fls', 'Fintech & Non Bank Fls', 'AkuLakuKredivoAdira FinanceOVOInvestreeBCA FinanceAkseleranPegadaianJD.IDBlibli', 'AkuLaku', 'Kredivo', 'Adira Finance', 'OVO', 'Investree', 'BCA Finance', 'Akseleran', 'Pegadaian', 'JD.ID', 'Blibli']"
